column,sdtype,metric,score
race,categorical,MissingValueSimilarity,1.0
race,categorical,TVComplement,0.9521323637792954
race,categorical,CategoryCoverage,1.0
race,categorical,CategoryAdherence,1.0
gender,categorical,MissingValueSimilarity,1.0
gender,categorical,TVComplement,0.8047830786616224
gender,categorical,CategoryCoverage,0.6666666666666666
gender,categorical,CategoryAdherence,1.0
age,categorical,MissingValueSimilarity,1.0
age,categorical,TVComplement,0.9872623200510982
age,categorical,CategoryCoverage,1.0
age,categorical,CategoryAdherence,1.0
discharge_disposition_id,id,MissingValueSimilarity,1.0
admission_source_id,id,MissingValueSimilarity,1.0
time_in_hospital,numerical,MissingValueSimilarity,1.0
time_in_hospital,numerical,KSComplement,0.8711983491377193
time_in_hospital,numerical,RangeCoverage,1.0
time_in_hospital,numerical,BoundaryAdherence,1.0
time_in_hospital,numerical,StatisticSimilarity(mean),0.9712629776748088
time_in_hospital,numerical,StatisticSimilarity(median),0.9230769230769231
time_in_hospital,numerical,StatisticSimilarity(std),0.9930578556552082
medical_specialty,categorical,MissingValueSimilarity,1.0
medical_specialty,categorical,TVComplement,0.9585196285559868
medical_specialty,categorical,CategoryCoverage,1.0
medical_specialty,categorical,CategoryAdherence,1.0
num_lab_procedures,numerical,MissingValueSimilarity,1.0
num_lab_procedures,numerical,KSComplement,0.8377511914705449
num_lab_procedures,numerical,RangeCoverage,0.732824427480916
num_lab_procedures,numerical,BoundaryAdherence,1.0
num_lab_procedures,numerical,StatisticSimilarity(mean),0.9860025886612735
num_lab_procedures,numerical,StatisticSimilarity(median),0.9923664122137404
num_lab_procedures,numerical,StatisticSimilarity(std),0.9695477331311283
num_procedures,categorical,MissingValueSimilarity,1.0
num_procedures,categorical,TVComplement,0.9759003586694837
num_procedures,categorical,CategoryCoverage,1.0
num_procedures,categorical,CategoryAdherence,1.0
num_medications,numerical,MissingValueSimilarity,1.0
num_medications,numerical,KSComplement,0.9150739448729918
num_medications,numerical,RangeCoverage,0.875
num_medications,numerical,BoundaryAdherence,1.0
num_medications,numerical,StatisticSimilarity(mean),0.9908110905026286
num_medications,numerical,StatisticSimilarity(median),1.0
num_medications,numerical,StatisticSimilarity(std),0.9711322871958024
primary_diagnosis,categorical,MissingValueSimilarity,1.0
primary_diagnosis,categorical,TVComplement,0.9394069670318872
primary_diagnosis,categorical,CategoryCoverage,1.0
primary_diagnosis,categorical,CategoryAdherence,1.0
number_diagnoses,numerical,MissingValueSimilarity,1.0
number_diagnoses,numerical,KSComplement,0.9525991254360536
number_diagnoses,numerical,RangeCoverage,0.5333333333333333
number_diagnoses,numerical,BoundaryAdherence,1.0
number_diagnoses,numerical,StatisticSimilarity(mean),0.9874514813541001
number_diagnoses,numerical,StatisticSimilarity(median),0.9333333333333333
number_diagnoses,numerical,StatisticSimilarity(std),0.9857713448015731
max_glu_serum,categorical,MissingValueSimilarity,1.0
max_glu_serum,categorical,TVComplement,0.9866850095808972
max_glu_serum,categorical,CategoryCoverage,1.0
max_glu_serum,categorical,CategoryAdherence,1.0
A1Cresult,categorical,MissingValueSimilarity,1.0
A1Cresult,categorical,TVComplement,0.9646612293028055
A1Cresult,categorical,CategoryCoverage,1.0
A1Cresult,categorical,CategoryAdherence,1.0
insulin,categorical,MissingValueSimilarity,1.0
insulin,categorical,TVComplement,0.8760256473247188
insulin,categorical,CategoryCoverage,1.0
insulin,categorical,CategoryAdherence,1.0
change,categorical,MissingValueSimilarity,1.0
change,categorical,TVComplement,0.9983294845968653
change,categorical,CategoryCoverage,1.0
change,categorical,CategoryAdherence,1.0
diabetesMed,categorical,MissingValueSimilarity,1.0
diabetesMed,categorical,TVComplement,0.9894978627229402
diabetesMed,categorical,CategoryCoverage,1.0
diabetesMed,categorical,CategoryAdherence,1.0
medicare,categorical,MissingValueSimilarity,1.0
medicare,categorical,TVComplement,0.9949024713801405
medicare,categorical,CategoryCoverage,1.0
medicare,categorical,CategoryAdherence,1.0
medicaid,categorical,MissingValueSimilarity,1.0
medicaid,categorical,TVComplement,0.9990787598879771
medicaid,categorical,CategoryCoverage,1.0
medicaid,categorical,CategoryAdherence,1.0
had_emergency,categorical,MissingValueSimilarity,1.0
had_emergency,categorical,TVComplement,0.982422738662605
had_emergency,categorical,CategoryCoverage,1.0
had_emergency,categorical,CategoryAdherence,1.0
had_inpatient_days,categorical,MissingValueSimilarity,1.0
had_inpatient_days,categorical,TVComplement,0.9912420773350366
had_inpatient_days,categorical,CategoryCoverage,1.0
had_inpatient_days,categorical,CategoryAdherence,1.0
had_outpatient_days,categorical,MissingValueSimilarity,1.0
had_outpatient_days,categorical,TVComplement,0.9512971060777281
had_outpatient_days,categorical,CategoryCoverage,1.0
had_outpatient_days,categorical,CategoryAdherence,1.0
readmit_binary,boolean,MissingValueSimilarity,1.0
readmit_binary,boolean,TVComplement,0.9443939468383039
readmit_binary,boolean,CategoryCoverage,1.0
readmit_binary,boolean,CategoryAdherence,1.0
